simbolo;Nombre;Actividad;Market Cap (intraday);Enterprise Value;Price/Sales (ttm);Enterprise Value/Revenue;Enterprise Value/EBITDA;Operating Margin (ttm);Return on Assets (ttm);Revenue (ttm);Revenue Per Share (ttm);EBITDA;Net Income Avi to Common (ttm);Diluted EPS (ttm);Total Cash (mrq);Current Ratio (mrq);Book Value Per Share (mrq);Operating Cash Flow (ttm);Levered Free Cash Flow (ttm);52-Week Change 3;50-Day Moving Average 3;200-Day Moving Average 3;Avg Vol (3 onh);Avg Vol (10 day) ;Shares Ousanding;Iplied Shares Ousanding;Float
AAPL;Apple Inc.;Technology;2,9E+12;2,95E+12;7,69;7,69;22,82;0,3013;0,2026;3,8329E+11;24,34;1,2582E+11;97000000000;6,13;61550000000;0,99;4;1105400000;82180000000;0,2571;176,47;172,53;58920000;60610000;15550000000;15550000000;15540000000
ABNB;Airbnb, Inc.;Consumer Cyclical;75530000000;66870000000;8,2;6,97;23,16;0,4404;0,075;9600000000;15,09;2260000000;5460000000;8,22;10960000000;1,78;14,28;42800000;2880000000;0,1235;129,19;125,24;6870000;7140000;434740000;639240000;413580000
ADBE;Adobe Inc.;Technology;2,7191E+11;2,6849E+11;14,56;14,22;35,87;0,347;0,1435;18890000000;41,11;7040000000;5120000000;11,11;7520000000;1,25;34,6;80300000;7320000000;0,7546;541,19;452,56;2710000;2700000;455300000;455300000;454310000
ADI;Analog Devices, Inc.;Technology;85870000000;91700000000;6,84;7,14;13,78;0,3098;0,0547;12840000000;25,37;6690000000;3750000000;7,36;1150000000;1,71;72,05;47800000;3400000000;0,0686;171,82;182,12;3400000;3440000;498310000;498310000;496280000
ADP;Automatic Data Processing, Inc.;Industrials;93980000000;95860000000;5,44;5,5;17,85;0,2494;0,0608;18310000000;44,33;5210000000;3490000000;8,43;1460000000;0,98;8,44;38200000;3540000000;-0,0863;238,94;228,53;1530000;1900000;411300000;411300000;410570000
ADSK;Autodesk, Inc.;Technology;45010000000;45610000000;8,77;8,75;39,32;0,1963;0,0756;5210000000;24,3;1110000000;874000000;4,02;2070000000;0,73;5,64;22400000;2080000000;-0,057;208;206,01;1220000;1100000;213760000;213760000;213340000
AEP;American Electric Power Company, Inc.;Utilities;40860000000;83150000000;2,08;4,31;11,7;0,2637;0,0264;19290000000;37,39;6990000000;2260000000;4,36;564300000;0,6;48,15;42300000;-2950000000;-0,1236;76,4;84,63;3320000;3910000;525880000;525880000;525190000
ALGN;Align Technology, Inc.;Healthcare;14720000000;13560000000;3,89;3,56;18,36;0,1732;0,0612;3810000000;49,51;741120000;362810000;4,73;1280000000;1,27;49,64;883590000;770260000;-0,0865;275,28;315,18;923650;1440000;76590000;76590000;72010000
AMAT;Applied Materials, Inc.;Technology;1,2605E+11;1,2561E+11;4,82;4,73;15,25;0,2805;0,1705;26540000000;31,42;8220000000;6440000000;7,58;6540000000;2,3;18,04;80000000;5370000000;0,4002;140,01;131,18;5540000;5070000;836530000;836530000;833360000
AMD;Advanced Micro Devices, Inc.;Technology;1,9158E+11;1,8866E+11;8,71;8,53;46,44;0,0386;-0,0008;22110000000;13,7;3050000000;208000000;0,11;5780000000;2,19;34,04;18500000;2760000000;0,6128;104,35;101,53;56100000;67990000;1620000000;1620000000;1610000000
AMGN;Amgen Inc.;Healthcare;1,4306E+11;1,6879E+11;5,36;6,29;11,39;0,3894;0,0786;26830000000;50,15;13300000000;7570000000;14,06;34740000000;2,86;14,31;105800000;8900000000;-0,0631;268,18;244,81;2440000;2550000;535180000;535180000;534010000
AMZN;Amazon.com, Inc.;Consumer Cyclical;1,48E+12;1,56E+12;2,69;2,81;21,15;0,0782;0,0361;5,5403E+11;53,95;73980000000;20080000000;1,91;64170000000;0,99;17,71;716500000;36390000000;0,4576;133,07;119,39;52030000;47360000;10330000000;10330000000;9060000000
ANSS;ANSYS, Inc.;Technology;25320000000;25540000000;11,8;11,83;36,76;0,1522;0,0549;2160000000;24,85;690910000;483600000;5,54;639510000;2,43;57,66;658370000;567290000;0,1574;295,55;307,05;451100;618890;86870000;86870000;86620000
ASML;ASML Holding N.V.;Technology;2,5591E+11;2,5542E+11;9,08;9,55;26,88;0,3271;0,156;26750000000;1,22;9400000000;7610000000;20,7;4980000000;1,33;30,49;76000000;4570000000;0,1444;606,48;655,71;1060000;947720;394590000;399260000;393230000
AVGO;Broadcom Inc.;Technology;3,952E+11;4,2249E+11;11,29;11,92;20,62;0,3176;0,1417;35450000000;85,59;20330000000;13870000000;32,46;11110000000;2,5;59,22;178400000;13820000000;0,8657;858,6;761,81;2250000;1950000;412740000;412740000;404700000
AZN;AstraZeneca PLC;Healthcare;1,9101E+11;2,1447E+11;4,38;4,77;15,75;0,2204;0,0923;44990000000;2,41;18710000000;5900000000;1,89;5110000000;0,79;24,01;103600000;12670000000;-0,0116;66,17;69,05;5260000;5940000;3100000000;3150000000;1540000000
BIIB;Biogen Inc.;Healthcare;32570000000;38000000000;3,27;3,8;16,42;0,1069;0,0486;9990000000;69,17;2540000000;1460000000;10,07;2290000000;1,68;99,96;13600000;1240000000;-0,2483;253,99;275,9;911320;1240000;144900000;146330000;144460000
BKNG;Booking Holdings Inc.;Consumer Cyclical;1,0726E+11;1,0766E+11;5,57;5,22;13,44;0,423;0,166;20630000000;556,23;6830000000;5300000000;141,41;13920000000;1,44;-17,76;81700000;6560000000;0,5532;3002,58;2772,99;256920;331040;34890000;34890000;34790000
BKR;Baker Hughes Company;Energy;34550000000;38010000000;1,41;1,55;10,05;0,1083;0,046;24580000000;24,4;3630000000;1680000000;1,67;4250000000;1,27;15,15;30300000;2770000000;0,1352;35,32;32,17;6720000;8110000;1010000000;7000000;959880000
CDNS;Cadence Design Systems, Inc.;Technology;71160000000;70850000000;18,2;18,07;54,13;0,3018;0,138;3920000000;14,55;1290000000;957640000;3,5;961980000;1,44;11,45;13400000;985690000;0,5576;241,25;221,94;1270000;1400000;272060000;274810000;269390000
CEG;Constellation Energy Group, Inc.;Utilities;38890000000;45160000000;1,5;1,71;13,07;0,1651;0,022;26450000000;81,21;4140000000;1690000000;5,21;1890000000;1,88;36,53;-45400000;-613750000;0,2965;112,26;93,27;1710000;1870000;319380000;319380000;319010000
CHTR;Charter Communications, Inc.;Communication Services;60620000000;1,5814E+11;1,15;2,9;7,6;0,2324;0,0537;54570000000;361,42;21170000000;4700000000;30,61;571000000;0,33;75,03;143600000;3060000000;0,0567;430,21;384,08;1110000;900520;147920000;147920000;96870000
CMCSA;Comcast Corporation;Communication Services;1,6869E+11;2,5959E+11;1,46;2,15;6,76;0,215;0,0566;1,2087E+11;28,85;37640000000;15150000000;3,59;6430000000;0,7;20,36;284600000;11930000000;0,228;43,72;41,25;18650000;19170000;4020000000;4030000000;3980000000
COST;Costco Wholesale Corporation;Consumer Defensive;2,5551E+11;2,4916E+11;1,06;1,03;23,23;0,0352;0,0798;2,4229E+11;545,88;10580000000;6290000000;14,14;15230000000;1,07;56,59;110700000;5460000000;0,1323;560,28;526,38;1710000;1670000;442740000;442740000;441460000
CPRT;Copart, Inc.;Industrials;46790000000;44550000000;12,17;11,51;27,06;0,3916;0,1542;3870000000;4,06;1640000000;1240000000;1,28;2360000000;6,62;6,25;13600000;583630000;0,5914;44,61;41,46;3860000;4020000;960180000;960180000;871190000
CRWD;CrowdStrike Holdings, Inc.;Technology;46880000000;44500000000;17,67;16,84;635,12;-0,021;-0,0197;2640000000;11,21;-65020000;-93470000;-0,39;3170000000;1,82;7,7;10600000;883770000;0,3824;174,9;146,64;3190000;2460000;226060000;238790000;222640000
CSCO;Cisco Systems, Inc.;Technology;2,1302E+11;1,9526E+11;3,79;3,43;11,18;0,2944;0,0995;57000000000;13,93;17220000000;12610000000;3,07;26330000000;1,38;10,91;198900000;18070000000;0,1755;54,01;51,26;16900000;16050000;4050000000;4070000000;4050000000
CSGP;CoStar Group, Inc.;Real Estate;32530000000;28400000000;13,56;11,89;63,57;0,0986;0,025;2390000000;5,9;446850000;402600000;0,99;5230000000;13,31;17,67;526020000;426950000;-0,0311;78,01;77,74;1800000;2150000;408360000;408360000;403670000
CSX;CSX Corporation;Industrials;60670000000;78180000000;4,26;5,32;10,51;0,3625;0,0845;14710000000;7,22;7270000000;3850000000;1,89;1440000000;1,14;6,05;54100000;2430000000;-0,0346;30,53;31,19;12980000;11200000;1980000000;1980000000;1970000000
CTAS;Cintas Corporation;Industrials;54340000000;56910000000;6,14;6,33;24,95;0,2137;0,1372;8990000000;88,36;2160000000;1380000000;13,28;88130000;2,56;40,01;16400000;1100000000;0,2019;504,67;477,46;374210;341460;101850000;101850000;86580000
CTSH;Cognizant Technology Solutions Corporation;Technology;33070000000;32150000000;1,73;1,65;9,6;0,1548;0,1028;19430000000;38,29;3440000000;2090000000;4,1;2370000000;2,23;25,71;23000000;1990000000;0,1355;67,57;64,98;3090000;3660000;501410000;501410000;500290000
DDOG;Datadog, Inc.;Technology;34050000000;32600000000;16,58;16,23;1190;-0,0077;-0,0189;2010000000;6,25;-60350000;-34460000;-0,11;2340000000;3,35;5,5;554170000;525670000;0,3268;90,52;87,15;4310000;8500000;302160000;328550000;297800000
DLTR;Dollar Tree, Inc.;Consumer Defensive;25100000000;34940000000;0,86;1,19;14,02;0,0393;0,0482;29310000000;132,53;2560000000;1220000000;5,5;512700000;1,48;41,06;20200000;196050000;-0,3065;110,56;136,89;2440000;1990000;220010000;220010000;207930000
DXCM;DexCom, Inc.;Healthcare;35900000000;35380000000;11,82;10,4;44,93;0,2108;0,055;3400000000;8,8;659600000;377000000;0,91;3240000000;2,8;5,87;747400000;596210000;-0,1676;91,16;111,49;5150000;4740000;381670000;386370000;383310000
EA;Electronic Arts Inc.;Communication Services;35710000000;35360000000;4,8;4,66;18,26;0,198;0,0724;7590000000;27,76;1900000000;993000000;3,62;2300000000;1,38;28,07;22100000;1930000000;0,0249;124,29;123,69;2040000;2300000;268970000;268970000;243320000
EBAY;eBay Inc.;Consumer Cyclical;20680000000;20180000000;2,13;2,01;4,93;0,202;0,0705;10060000000;18,79;2680000000;2720000000;4,98;8720000000;2,16;11,34;29900000;3160000000;-0,132;42,15;44,28;5490000;8280000;519000000;519000000;517140000
ENPH;Enphase Energy, Inc.;Technology;10650000000;10160000000;4,17;3,75;13,59;0,2141;0,1236;2710000000;19,89;678290000;571770000;3,99;1780000000;3,36;7,46;915040000;541960000;-0,7383;109,7;162,76;4390000;5160000;136550000;136550000;131110000
EXC;Exelon Corporation;Utilities;39250000000;82150000000;1,87;3,91;10,83;0,1848;0,0239;21030000000;21,12;6970000000;2140000000;2,15;303000000;0,85;25,59;40200000;-3660000000;0,036;39,56;40,8;5360000;5780000;995440000;995440000;993920000
FANG;Diamondback Energy, Inc.;Energy;28230000000;33630000000;3,49;4,14;5,54;0,5898;0,1066;7740000000;43,09;6070000000;3160000000;17,63;827000000;0,89;91,04;57400000;-52750000;-0,0358;157,74;142,99;1950000;1820000;178980000;178980000;178130000
FAST;Fastenal Company;Industrials;34290000000;34530000000;4,72;4,74;20,45;0,2095;0,2043;7280000000;12,75;1690000000;1130000000;1,98;297500000;4,71;6,07;13800000;1010000000;0,1612;56,73;55,32;3260000;3420000;571410000;571410000;570020000
FI;Fiserv Inc;Financial Services;72930000000;95630000000;4,04;5,08;12,25;0,2723;0,0357;18810000000;30,31;7690000000;2980000000;4,78;1350000000;1,07;49,12;52000000;3850000000;0,215;116,5;117,85;2490000;2510000;600190000;600190000;596360000
FTNT;Fortinet, Inc.;Technology;39030000000;36850000000;7,79;7,12;26,01;0,2264;0,1179;5170000000;6,61;1320000000;1150000000;1,44;3170000000;1,3;0,09;22700000;1680000000;-0,0847;58,06;63,79;6440000;12510000;767910000;767910000;646830000
GEHC;General Electric Healthcare;Healthcare;31650000000;39500000000;1,64;2,05;11,08;0,1522;0,0617;19280000000;42,36;3510000000;1530000000;3,37;2410000000;1,25;15,66;20900000;2440000000;0,1587;66,83;74,45;2900000;3230000;455240000;455240000;392690000
GFS;G4S plc;Industrials;28750000000;28540000000;3,78;3,74;9,3;0,1501;0,0445;7640000000;13,88;2700000000;1410000000;2,54;2890000000;2,11;19,05;19300000;-1600000000;-0,2008;55,61;60,37;1380000;2120000;553200000;552670000;83640000
GILD;Gilead Sciences, Inc.;Healthcare;94600000000;1,1272E+11;3,49;4,12;10,55;0,3851;0,0921;27390000000;21,9;11740000000;5880000000;4,67;7970000000;1,34;17,89;84000000;9220000000;-0,0836;76,85;79,04;5580000;7030000;1250000000;1260000000;1240000000
GOOG;Alphabet Inc.;Communication Services;1,67E+12;1,58E+12;5,78;5,31;16,89;0,2796;0,1349;2,9713E+11;23,34;96070000000;66730000000;5,21;1,1994E+11;2,04;21,78;1064400000;71760000000;0,396;134,62;119;21350000;19620000;5730000000;12460000000;10790000000
GOOGL;Alphabet Inc.;Communication Services;1,67E+12;1,58E+12;5,71;5,31;16,89;0,2796;0,1349;2,9713E+11;23,34;96070000000;66730000000;5,22;1,1994E+11;2,04;21,78;1064400000;71760000000;0,3855;133,54;118,3;27420000;25410000;5920000000;12590000000;10790000000
HON;Honeywell International Inc.;Industrials;1,2309E+11;1,3544E+11;3,45;3,72;15,53;0,2258;0,0775;36410000000;54,62;8710000000;5410000000;8,07;7930000000;1,35;26,14;47500000;4130000000;-0,1234;185,78;193,83;2690000;2770000;659250000;659250000;627310000
IDXX;IDEXX Laboratories, Inc.;Healthcare;35610000000;36420000000;10,03;10,15;30,49;0,3007;0,2354;3590000000;43,22;1190000000;822730000;9,82;331700000;1,43;15,62;830090000;586360000;0,0016;437,85;478,08;479710;638170;83050000;83050000;82170000
ILMN;Illumina, Inc.;Healthcare;15570000000;16830000000;3,48;3,77;-73,48;0,0402;-0,0075;4460000000;28,3;283000000;-1120000000;-7,1;933000000;1,69;37,33;401000000;298120000;-0,5806;131,29;183,87;1830000;2910000;158800000;161400000;157640000
INTC;Intel Corporation;Technology;1,6383E+11;1,8768E+11;3,06;3,55;22,57;0,0571;-0,0072;52860000000;12,69;8290000000;-1640000000;-0,39;25030000000;1,53;24,15;145500000;-4480000000;0,2804;36,33;32,44;37100000;35060000;4220000000;4220000000;4210000000
INTU;Intuit Inc.;Technology;1,4823E+11;1,5125E+11;10,42;10,53;37,41;0,157;0,0707;14370000000;51,13;3780000000;2380000000;8,41;3662000000;1,47;61,58;50500000;4590000000;0,33;520,91;466,07;1420000;1510000;280260000;280260000;272240000
ISRG;Intuitive Surgical, Inc.;Healthcare;97700000000;93550000000;14,46;13,66;44,68;0,2671;0,0767;6850000000;19,51;2110000000;1520000000;4,25;6480000000;5,31;35,62;20200000;1290000000;0,0696;285,15;287,95;1890000;1670000;352070000;352070000;350160000
JD;JD.com, Inc.;Consumer Cyclical;39910000000;17640000000;0,28;0,02;0,56;0,0252;0,0274;1,07E+12;682,19;33140000000;21840000000;1,87;2,3512E+11;1,35;141;525400000;13580000000;-0,4934;28,6;37,01;10780000;9910000;1570000000;428190000;2380000000
KDP;Keurig Dr Pepper Inc.;Consumer Defensive;43310000000;57400000000;2,97;3,89;15,56;0,2368;0,0389;14750000000;10,5;3930000000;1940000000;1,37;260000000;0,39;18,14;17700000;1080000000;-0,1524;31,13;32,94;8630000;8240000;1400000000;1400000000;953080000
KHC;The Kraft Heinz Company;Consumer Defensive;40340000000;59170000000;1,49;2,18;10,58;0,2108;0,0385;27160000000;22,13;6490000000;2990000000;2,42;1050000000;1;40,16;35700000;2430000000;-0,1067;32,76;36,42;7790000;8420000;1230000000;1230000000;800000000
KLAC;KLA Corporation;Technology;72620000000;75340000000;7,3;7,41;17,59;0,3751;0,1733;10170000000;73,62;4200000000;3100000000;22,39;3350000000;2,21;21,99;35400000;2740000000;0,4137;476,08;439,73;938410;1010000;135930000;135930000;135670000
